溶解氧,水温,pH,电导率,浊度,高锰酸盐指数,氨氮,总氮
3.46,24.8,7.15,176.2,4.9,4.780446024,0.39,2.42
4.44,25.7,7.22,181.5,4.6,4.761365177,0.428,2.5
5.02,26,7.28,184.9,4.5,4.741931875,0.345,2.34
5.52,25.9,7.3,178.8,5.4,4.722158706,0.232,2.14
5.26,25.6,7.31,168.1,5.4,4.702058256,0.172,1.95
4.7,25.1,7.21,161.7,4.9,4.681643114,0.126,1.79
4.55,24.9,7.15,157.3,4.8,4.660925867,0.123,1.74
5.28,25.6,7.2,157.8,4.8,4.639919103,0.136,1.75
6.49,26.9,7.12,158.2,6.4,4.61863541,0.14,1.7
6.5,26.6,7.34,156.9,7.6,4.597087375,0.136,1.77
6.3,26.5,7.33,158.7,7,4.575287587,0.15,1.81
5.73,26.3,7.31,163.1,8,4.553248632,0.118,1.77
4.61,25.9,7.23,168.1,7,4.530983099,0.132,1.82
5.28,26.6,7.24,172.7,6.5,4.508503575,0.231,1.92
5.87,27.4,7.3,173.7,5.7,4.485822648,0.295,2.03
5.43,27.2,7.23,167.3,7.8,4.462952905,0.233,2.03
5.51,27,7.22,160.2,7.1,4.439906935,0.175,1.92
5.36,26.8,7.22,157.4,7.1,4.416697325,0.126,1.78
5.44216,26.30314577,7.18984,151.5996527,8.049931413,4.393336662,0.169704152,1.868085938
5.63808,25.49917123,7.11792,143.0021093,10.5957476,4.369837535,0.274592456,2.1003125
5.87192,24.58362379,7.03208,133.9547395,14.28148148,4.346212531,0.401328684,2.428632813
6.06784,23.75205091,6.96016,126.8049132,18.65116598,4.322474237,0.510576608,2.805
6.15,23.2,6.93,123.9,23.24883402,4.298635242,0.563,3.181367188
5.97,22.86322314,6.945277778,132.0272727,27.61851852,4.274708133,0.57,3.5096875
5.79,22.7,6.98,143.1,31.3042524,4.250705498,0.62,3.741914063
6.11,22.8,7.05,147.6,33.85006859,4.226639925,0.583,3.83
6.61,23.3,7.14,149.4,34.8,4.202524001,0.524,3.41
6.45,23.5,7.17,150.3,28,4.178370313,0.401,3.08
6.17,23.5,7.19,155.8,23.4,4.15419145,0.32,2.83
6.03,23.3,7.19,156.5,20.9,4.13,0.272,2.64
6.03,23.2,7.2,159.7,18.5,4.10580855,0.304,2.54
6.9,24.1,7.26,161.1,15.6,4.081629687,0.255,2.44
7.45,25.7,7.33,162.8,13.7,4.057475999,0.208,2.33
6.78,26.1,7.31,170.2,12.4,4.033360075,0.185,2.23
5.77,26,7.28,181.8,10.6,4.009294502,0.176,2.23
5.02,25.8,7.24,187.1,10.2,3.985291867,0.176,2.24
5.24,25.5,7.27,188.3,10.5,3.961364758,0.197,2.3
5.92,26.2,7.28,180.5,10.4,3.937525763,0.341,2.55
6.94,27.5,7.38,174.1,10.1,3.913787469,0.256,2.34
6.8,27.8,7.39,171.6,11.1,3.890162465,0.145,2.11
6.14,27.4,7.31,164.8,10.6,3.866663338,0.133,2.05
4.99,26.5,7.2,167.4,10.3,3.843302675,0.184,2.22
4.68,26.3,7.18,171.4,10.2,3.820093065,0.231,2.27
5.71,25.7,7.24,157.5,24.3,3.797047095,0.169,2.3
5.56,25,7.19,151,40.3,3.774177352,0.431,3.28
5.32,24.4,7.03,152.3,40.203367,3.751496425,0.505,4.93
4.79,24.3,6.91,148.7,39.95117845,3.729016901,0.515,4.17
5.11,24.2,6.92,141.5,39.6,3.706751368,0.445,3.65
5,24.1,7,150.8,39.02566439,3.684712413,0.496592593,4.68
5.22,24.3,6.99,152.6,38.02717499,3.662912625,0.592407407,4.73
4.99,24.4,6.93,145.2,36.54585339,3.64136459,0.644,4.43
4.92,24.4,6.89,135.9,34.52302119,3.620080897,0.396,3.96
4.89,24.4,6.95,144,31.9,3.599074133,0.4065,3.31
4.63,24.2,6.98,132.9,24.9,3.578356886,0.417,3.28
4.67,24,7.01,153.5,22.1,3.557941744,0.317,3.05
4.63,24.7,7.06,159.1,18.1,3.537841294,0.378,3.06
4.05,25.9,7.05,164.8,16.2,3.518068125,0.519,3.24
3.86,26.2,7.04,170.3,12.6,3.498634823,0.402,3.04
3.69,25.8,7.04,172.7,11.6,3.479553976,0.295,2.85
4.08,25.4,7.08,174.9,11.8,3.460838173,0.22,2.69
4.34,25,7.12,179.4,11.1,3.4425,0.161,2.55
5.09,25.2,7.19,184.2,10.5,3.424552046,0.129,2.47
6.08,26,7.26,185.7,10,3.407006898,0.117,2.39
5.82,26.3,7.27,187.6,10,3.389877144,0.105,2.33
5.24,26.1,7.25,188.3,9,3.373175372,0.105,2.23
4.54,25.8,7.24,198.2,9.1,3.356914169,0.116,2.3
4.51,25.5,7.24,200.2,9.9,3.341106123,0.154,2.38
4.94,26.2,7.26,199.7,9.1,3.325763821,0.235,2.57
5.84,27.1,7.33,199.9,8.5,3.310899852,0.247,2.48
5.76,27.4,7.32,196.2,9.7,3.296526803,0.156,2.39
5.33,27.2,7.3,198.4,9,3.282657262,0.111,2.28
4.5,26.8,7.25,198.2,9,3.269303817,0.11,2.23
4.47,26.5,7.23,192.5,9.8,3.256479054,0.144,2.29
4.26,25.4,7.26,157.2,13.43747358,3.244195562,0.429,4.64
3.86,24.5,7.01,138.6,20.37815778,3.232465929,0.676,5.98
4.05,24.3,6.8,127.2,28.26010519,3.221302742,0.435,4.77
4.35,24.2,6.82,128.1,34.7213684,3.21071859,0.34,4.05
4.49,23.9,6.85,132.8,37.4,3.200726058,0.308,3.58
4.36,23.6,6.89,141.6,28,3.191337736,0.308,3.32
4.24,23.7,6.94,149.7,21.5,3.182566211,0.359,3.2
5.4,24.3,7.04,151.4,17.3,3.174424071,0.247,2.86
5.52,24.6,7.1,156.7,15.3,3.166923903,0.191,2.64
5.35,24.4,7.12,161.3,12.7,3.160078295,0.164,2.56
5.37,24.1,7.14,163,12.1,3.153899836,0.157,2.48
5.18,23.9,7.15,172.8,12.2,3.148401111,0.169,2.43
5.99,24.5,7.25,181.4,9.7,3.14359471,0.126,2.3
6.5,25.7,7.32,187.3,9.1,3.139493219,0.123,2.25
5.86,25.8,7.27,190.2,8.9,3.136109228,0.136,2.33
5.28,25.5,7.24,182.2,8.8,3.133455322,0.146,2.38
5.45,25.2,7.25,181,9.8,3.13154409,0.101,2.16
5.83,24.8,7.25,172.7,10.6,3.130388121,0.102,2.17
6.36,25.5,7.31,174.5,9,3.13,0.094,2.16
7.18,26.6,7.38,176,20.5,3.18,0.017,2.08
6.66,26.7,7.35,171.6,9.5,3.12,0.008,2.02
5.83,26.2,7.27,177,9.1,3.03,0.012,2.02
5.45,25.9,7.27,183,8.6,2.96,0.001,2.01
5.62,25.5,7.27,176.1,9.6,2.91,0.081,2.02
5.98,25.8,7.27,169.3,9,2.83,0.122,2.06
6.61,26.5,7.33,170.7,8.5,2.91,0.088,1.97
6.59,26.8,7.33,166.4,9.3,2.87,0.082,1.96
5.93,26.4,7.29,170.7,9.9,3.12,0.006,1.94
6.26,25.8,7.2,138.1,15.5,3.13,0.008,1.93
4.54,25.6,7.2,177.2,13.2,3.74,0.264,2.34
5.12,25.5,7.26,194.1,17.9,3.78,0.179,2.58
4.48,26,7.18,186.4,23.7,4.82,0.376,3.12
4.19,26.1,7.07,166,21.4,5.42,0.365,3.12
3.89,25.9,7.04,161.8,39.9,5.18,0.292,2.84
4.34,25.8,7.03,157.9,14.5,4.81,0.179,2.52
4.4,25.7,7.03,157.5,14,4.33,0.155,2.42
4.67,25.8,7.04,162.9,12,4.34,0.124,2.37
5.79,26.7,7.15,169.7,11.2,4.26,0.113,2.3
5.97,27,7.24,183.6,11.6,4.05,0.085,2.26
5.16,26.8,7.2,185.2,10.8,4.05,0.016,2.25
4.55,26.3,7.21,179.7,24.9,4.61,0.265,2.89
4.47,24.8,7.03,138.9,29.16424051,7.8,0.393,5.77
4.24,24.5,6.69,116.1,32.22932489,7.51,0.368,4.94
4.86,25.3,6.65,116.6,34.07974684,6.22,0.229,4.02
4.95,26,6.76,124.4,34.7,5.61,0.183,3.47
4.74,26.4,6.82,136.8,27.5,5.139768294,0.178,3.12
4.62,26.3,6.88,143.6,23.5,4.74,0.169,2.89
4.71,25.9,6.94,149.6,21.2,4.4,0.165,2.83
4.82,25.6,6.99,150.2,24.6,4.84,0.184,2.98
4.76,26,7.03,156.5,21.3,4.92,0.227,2.98
4.65,26.1,7.04,157.7,15.5,4.38,0.232,2.76
5.16,25.7,7.09,157.5,14.3,4.27,0.134,2.53
5.34,25.4,7.11,153.4,14.8,4.32,0.125,2.46
5.52,24.8,7.1,135.9,16.37941569,5.08,0.16,3.51
4.75,24.1,6.78,106.5,19.22254097,7.31,0.229,5.82
4.37,24,6.72,94.1,22.63776894,7.81,0.138,5.683202028
4.8,24.1,6.73,96.1,25.93349271,5.67,0.138,5.32
4.94,24.2,6.69,103.7,28.41810536,4.49,0.127,4.03
4.7,24.2,6.71,115.9,29.4,4.11,0.171,3.51
4.71,24,6.79,127.8,23.4,3.89,0.2,3.25
5.18,23.8,6.85,130.4,25.1,3.71,0.193,3.21
5.27,23.9,6.88,130.2,23.1,3.86,0.188,3.12
5.7,24.1,6.95,120.2,19.8,3.48,0.143,2.93
5.8,24,6.98,135.8,17.7,3.26,0.139,2.9
5.839830128,23.99146502,6.979804444,135.7491556,17.74367407,3.266412727,0.136982841,2.900487925
5.875366618,23.98402495,6.979235556,135.6012444,17.87072593,3.285047357,0.135119656,2.901905777
5.906922974,23.9776009,6.97832,135.3632,18.0752,3.314998565,0.133400725,2.904184673
5.934812703,23.972114,6.977084444,135.0419556,18.35114074,3.355361023,0.131816328,2.90725573
5.959349307,23.96748538,6.975555556,134.6444444,18.69259259,3.405229407,0.130356744,2.911050064
5.980846292,23.96363616,6.97376,134.1776,19.0936,3.463698389,0.129012253,2.91549879
5.999617162,23.96048746,6.971724444,133.6483556,19.54820741,3.529862643,0.127773135,2.920533027
6.015975422,23.95796041,6.969475556,133.0636444,20.05045926,3.602816844,0.126629671,2.92608389
6.030234576,23.95597614,6.96704,132.4304,20.5944,3.681655664,0.125572139,2.932082496
6.042708129,23.95445577,6.964444444,131.7555556,21.17407407,3.765473779,0.12459082,2.938459961
6.053709585,23.95332043,6.961715556,131.0460444,21.78352593,3.853365862,0.123675993,2.945147403
6.06355245,23.95249123,6.95888,130.3088,22.4168,3.944426586,0.122817938,2.952075936
6.072550227,23.95188931,6.955964444,129.5507556,23.06794074,4.037750625,0.122006935,2.959176678
6.081016422,23.95143579,6.952995556,128.7788444,23.73099259,4.132432654,0.121233265,2.966380745
6.089264538,23.9510518,6.95,128,24.4,4.227567346,0.120487205,2.973619255
6.09760808,23.95065846,6.947004444,127.2211556,25.06900741,4.322249375,0.119759038,2.980823322
6.106360553,23.95017689,6.944035556,126.4492444,25.73205926,4.415573414,0.119039042,2.987924064
6.115835462,23.94952823,6.94112,125.6912,26.3832,4.506634138,0.118317496,2.994852597
6.126346311,23.94863359,6.938284444,124.9539556,27.01647407,4.594526221,0.117584682,3.001540039
6.138206605,23.9474141,6.935555556,124.2444444,27.62592593,4.678344336,0.116830879,3.007917504
6.151729847,23.94579089,6.93296,123.5696,28.2056,4.757183156,0.116046366,3.01391611
6.167229544,23.94368507,6.930524444,122.9363556,28.74954074,4.830137357,0.115221424,3.019466973
6.185019199,23.94101779,6.928275556,122.3516444,29.25179259,4.896301611,0.114346332,3.02450121
6.205412316,23.93771015,6.92624,121.8224,29.7064,4.954770593,0.11341137,3.028949936
6.228722402,23.93368329,6.924444444,121.3555556,30.10740741,5.004638977,0.112406818,3.03274427
6.255262959,23.92885833,6.922915556,120.9580444,30.44885926,5.045001435,0.111322956,3.035815327
6.285347493,23.9231564,6.92168,120.6368,30.7248,5.074952643,0.110150063,3.038094223
6.319289508,23.91649861,6.920764444,120.3987556,30.92927407,5.093587273,0.108878419,3.039512075
6.357402509,23.90880611,6.920195556,120.2508444,31.05632593,5.1,0.107498305,3.04
6.4,23.9,6.92,120.2,31.1,4.18,0.106,2.73
6.53,23.7,6.98,126.4,26.8,3.49,0.104,2.59
6.27,23.7,6.99,118,27.19516826,4.051785714,0.18,3.46
6.18,24,6.87,106.9,28.23967652,4.92,0.169,3.86
5.91,23.9,6.76,90.4,29.72202997,5.47,0.104,4.76
5.85,24,6.86,93,31.43073384,4.67,0.004,4.72
5.65,23.9,6.76,103.4,33.15429333,3.92,0.131,3.45
5.8,23.7,6.8,110.4,34.68121365,3.49,0.135,2.97
6.02,23.5,6.88,119.7,35.8,3.41,0.121,2.76
6.4,23.8,6.96,126.9,36.5,2.87,0.121,2.82
6.56,24.8,7,129,37.5,2.93,0.105,2.8
6.48,25.2,7.02,128.7,33.6,2.87,0.091,2.7
6.34,25.2,7.04,130.9,28.3,3.12,0.085,2.63
6.38,24.9,7.07,133,25.5,2.62,0.005,2.58
6.46,24.5,7.1,135.2,23.5,2.79,0.08,2.54
6.43,24.5,7.11,138.2,22.8,2.69,0.097,2.62
6.29,25,7.1,141.2,20.9,2.85,0.125,2.67
6.6,25,7.16,138.9,20.3,2.31,0.002,2.51
6.58,24.8,7.17,134.7,18,2.34,0.006,2.46
6.4,24.7,7.16,133.9,18.7,2.37,0.091,2.46
6.47,24.5,7.16,134.8,19,2.46,0.08,2.46
6.4,25.2,7.16,137.5,18,2.35,0.102,2.5
6.45,26.1,7.16,140.4,17.6,2.81,0.096,2.48
6.09,26.3,7.16,144.3,15.4,2.61,0.094,2.4
6.09,26.1,7.19,145.3,16,2.36,0.01,2.32
6.1,25.8,7.21,144.6,18.4,2.28,0.002,2.3
6.08,25.6,7.2,148.3,14.7,2.35,0.015,2.25
6.5,26.6,7.25,150.6,13,2.32,0.007,2.2
6.54,27.8,7.26,152.3,12.1,2.52,0.006,2.16
5.89,28,7.25,154.4,15,2.42,0.094,2.38
5.72,27.4,7.19,149.4,23.4,2.88,0.1,2.6
4.99,26.9,7.07,133.7,27.22959444,4.06,0.154,3.54
4.81,26.6,6.9,121.1,30.2346395,4.67,0.156,3.8
4.82,26.6,6.91,130.1,32.19736481,4.51,0.174,3.21
5.44,27.1,6.99,134.7,32.9,3.81,0.13,2.71
5.5,26.9,7.05,139.7,25.8,3.66,0.128,2.59
5.26,26.4,7.1,145.5,22.6,3.51,0.141,2.51
5.45,26.1,7.14,149.1,19.9,3.51,0.123,2.4
5.43,26,7.14,149.3,23.4,3.51,0.117,2.44
5.62,26.3,7.15,150,18.9,3.51,0.115,2.4
5.79,27,7.17,153.5,15.7,3.16,0.097,2.29
5.85,26.8,7.2,144,16.8,3.2,0.092,2.26
5.6,26.9,7.19,144,16,3.19,0.097,2.29
5.27,26.8,7.15,144,15.4,3.31,0.095,2.3
5.3,26.6,7.16,147.4,17.4,3.5,0.093,2.26
5.37,26.5,7.17,147.3,16,3.44,0.102,2.26
5.11,27.1,7.15,143,15.9,3.49,0.112,2.3
5.35,27.2,7.2,143.9,14.3,3.18,0.004,2.09
5.1,27.2,7.19,141.7,13.5,3.45,0.086,2.16
4.9,26.9,7.2,142.5,13.9,3.74,0.085,2.12
4.99,26.6,7.2,142.6,15.4,3.56,0.107,2.17
5.18,26.5,7.2,142.1,14.8,0.16,0.122,2.15
5.63,27,7.25,143.5,13,4.82,0.128,2.08
5.03,27.1,7.22,144.2,11.1,4.16,0.173,2.12
4.71,27.1,7.17,140,12.1,3.7,0.205,2.13
4.57,27,7.16,138.5,12.9,3.59,0.225,2.2
4.82,26.6,7.16,137.2,13.8,0.04,0.179,2.16
5.08,26.9,7.19,138.7,12.1,0.8,0.171,2.17
5.16,27.9,7.2,142.3,12.1,0.18,0.169,2.23
5.36,27.9,7.23,142.4,11.8,0.04,0.117,2.14
5.17,28,7.26,147.2,11.6,0,0.009,2.140185751
5.19,27.9,7.28,149.7,12.2,0.04,0.001,2.140736988
4.98,27.5,7.28,150.6,13.4,0.1,0.084,2.141644686
4.82,27.4,7.24,152.2,12.9,0.13,0.121,2.142899821
5.67,28.1,7.27,149.4,12.7,0.07,0.002,2.144493369
5.71,28.1,7.32,150.4,12.3,0.16,0.009,2.146416305
5.28,28.1,7.3,144.7,12.6,0.07,0.006,2.148659606
5.36,27.8,7.3,143.5,12.6,0.19,0.016,2.151214246
5.28,27.3,7.32,145.7,14,0.05,0.004,2.154071201
5.37,27.1,7.28,139.7,13,0.1,0.017,2.157221448
5.67,27,7.29,142.2,13.2,0.03,0.002,2.160655961
5.48,27.1,7.29,144.7,12.5,0.06,0.014,2.164365717
5.01,27,7.23,140.5,11,0.08,0.013,2.16834169
5.3,26.7,7.25,145.1,12.8,0.15,0.006,2.172574857
5.48,26.4,7.27,139.9,14.4,0.04,0.001,2.177056194
5.83,26.6,7.27,139.7,12.5,0.08,0.013,2.181776676
6.35,27.5,7.31,140.9,12.3,0.17,0.006,2.186727278
6.23,27.3,7.61,140.4,13.4,0.07,0.007,2.191898976
5.69,27.2,7.25,130.5,12.1,0.11,0.004,2.197282747
5.59,27.3,7.23,135.7,12.6,0.06,0.01,2.202869565
5.81,26.8,7.27,135.9,14.3,0.13,0.009,2.208650407
6.36,26.8,7.26,128.8,13.7,0.1,0.003,2.214616247
6.58,27.6,7.3,130.8,13.3,0.04,0.008,2.220758062
6.46,27.6,7.32,135.7,12.2,0.05,0.002,2.227066827
5.88,27.6,7.31,141.5,13,0.02,0.015,2.233533519
5.52,27.6,7.3,152.5,13.2,0.15,0.01,2.240149111
5.09,27.5,7.24,149,19.3,0.03,0.091,2.246904582
5.79,27.1,7.26,139.6,12.8,0.04,0.006,2.253790905
6.23,27.6,7.31,139.9,12.3,0.12,0.01,2.260799056
6.13,27.7,7.35,142.9,11.6,0.14,0.012,2.267920012
6.03,27.4,7.32,138.5,14.2,0.16,0.016,2.275144748
6.12,27.1,7.61,145,17.4,0.17,0.006,2.282464239
5.81,26.4,7.28,130.3,17.39317005,0.18,0.2,2.289869462
5.18,26.2,7.2,133.3,17.37304204,0.65,0.3,2.297351391
5.07,26.1,7.04,135.5,17.34015876,0.06,0.253,2.304901003
5.072413918,26.1026964,7.04053928,136.9464934,17.29506298,0.065007595,0.253000128,2.312509274
5.079519676,26.11063368,7.042126736,138.3008835,17.23829749,0.079748264,0.253000605,2.320167178
5.091113281,26.12358398,7.044716797,139.5677181,17.17040505,0.103798828,0.253001571,2.327865691
5.106990741,26.14131944,7.048263889,140.7515452,17.09192844,0.136736111,0.253003167,2.33559579
5.126948061,26.1636122,7.052722439,141.8569128,17.00341045,0.178136936,0.253005532,2.34334845
5.15078125,26.19023438,7.058046875,142.8883686,16.90539385,0.227578125,0.253008807,2.351114646
5.178286314,26.22095812,7.064191623,143.8504608,16.79842142,0.284636502,0.253013133,2.358885354
5.209259259,26.25555556,7.071111111,144.7477371,16.68303594,0.348888889,0.253018648,2.36665155
5.243496094,26.29379883,7.078759766,145.5847455,16.55978018,0.419912109,0.253025495,2.37440421
5.280792824,26.33546007,7.087092014,146.366034,16.42919692,0.497282986,0.253033812,2.382134309
5.320945457,26.38031141,7.096062283,147.0961504,16.29182893,0.580578342,0.25304374,2.389832822
5.36375,26.428125,7.105625,147.7796428,16.14821901,0.669375,0.253055419,2.397490726
5.409002459,26.47867296,7.115734592,148.4210589,15.99890992,0.763249783,0.253068989,2.405098997
5.456498843,26.53172743,7.126345486,149.0249468,15.84444444,0.861779514,0.253084591,2.412648609
5.506035156,26.58706055,7.137412109,149.5958543,15.68536536,0.964541016,0.253102365,2.420130538
5.557407407,26.64444444,7.148888889,150.1383294,15.52221544,1.071111111,0.253122451,2.427535761
5.610411603,26.70365126,7.160730252,150.65692,15.35553746,1.181066623,0.25314499,2.434855252
5.66484375,26.76445313,7.172890625,151.1561741,15.18587421,1.293984375,0.25317012,2.442079988
5.720499855,26.82662218,7.185324436,151.6406395,15.01376846,1.409441189,0.253197983,2.449200944
5.777175926,26.88993056,7.197986111,152.1148642,14.83976299,1.527013889,0.25322872,2.456209095
5.834667969,26.95415039,7.210830078,152.5833961,14.66440057,1.646279297,0.253262469,2.463095418
5.892771991,27.01905382,7.223810764,153.0507832,14.48822399,1.766814236,0.253299371,2.469850889
5.951283999,27.08441298,7.236882595,153.5215733,14.31177601,1.88819553,0.253339567,2.476466481
6.01,27.15,7.25,154.0003144,14.13559943,2.01,0.253383197,2.482933173
6.068716001,27.21558702,7.263117405,154.4915544,13.96023701,2.13180447,0.2534304,2.489241938
6.127228009,27.28094618,7.276189236,154.9998412,13.78623154,2.253185764,0.253481318,2.495383753
6.185332031,27.34584961,7.289169922,155.5297228,13.61412579,2.373720703,0.25353609,2.501349593
6.242824074,27.41006944,7.302013889,156.0857471,13.44446254,2.492986111,0.253594856,2.507130435
6.299500145,27.47337782,7.314675564,156.672462,13.27778456,2.610558811,0.253657758,2.512717253
6.35515625,27.53554688,7.327109375,157.2944154,13.11463464,2.726015625,0.253724934,2.518101024
6.409588397,27.59634874,7.339269748,157.9561552,12.95555556,2.838933377,0.253796525,2.523272722
6.462592593,27.65555556,7.351111111,158.6622295,12.80109008,2.948888889,0.253872672,2.528223324
6.513964844,27.71293945,7.362587891,159.417186,12.65178099,3.055458984,0.253953514,2.532943806
6.563501157,27.76827257,7.373654514,160.2255728,12.50817107,3.158220486,0.254039192,2.537425143
6.610997541,27.82132704,7.384265408,161.0919378,12.37080308,3.256750217,0.254129846,2.54165831
6.65625,27.871875,7.394375,162.0208288,12.24021982,3.350625,0.254225616,2.545634283
6.699054543,27.91968859,7.403937717,163.0167938,12.11696406,3.439421658,0.254326643,2.549344039
6.739207176,27.96453993,7.412907986,164.0843808,12.00157858,3.522717014,0.254433066,2.552778552
6.776503906,28.00620117,7.421240234,165.2281376,11.89460615,3.600087891,0.254545026,2.555928799
6.810740741,28.04444444,7.428888889,166.4526122,11.79658955,3.671111111,0.254662664,2.558785754
6.841713686,28.07904188,7.435808377,167.7623525,11.70807156,3.735363498,0.254786118,2.561340394
6.86921875,28.10976563,7.441953125,169.1619064,11.62959495,3.792421875,0.25491553,2.563583695
6.893051939,28.1363878,7.447277561,170.6558219,11.56170251,3.841863064,0.25505104,2.565506631
6.913009259,28.15868056,7.451736111,172.2486469,11.50493702,3.883263889,0.255192787,2.567100179
6.928886719,28.17641602,7.455283203,173.9449292,11.45984124,3.916201172,0.255340913,2.568355314
6.940480324,28.18936632,7.457873264,175.7492169,11.42695796,3.940251736,0.255495556,2.569263012
6.947586082,28.1973036,7.45946072,177.6660579,11.40682995,3.954992405,0.255656859,2.569814249
6.95,28.2,7.46,179.7,11.4,3.96,0.25582496,2.57
6.58,28.2,7.42,185.8,16.2,3.82,0.256,2.27
5.97,28,7.31,178.6,11.8,3.62,0.27,2.21
6,27.6,7.32,181.1,13.3,3.99,0.224,2.2
6.02,27.1,7.34,183.6,14.5,3.965,0.231,2.18
6.67,27.5,7.37,177.8,11,3.94,0.220675414,2.09
7.63,28.7,7.45,182,9.5,4.03,0.206,2.06
7,28.7,7.47,176.6,9.9,4.11,0.199,2
6.07,28.5,7.33,171.9,14.3,4.12,0.289,2.24
5.72,28.1,7.35,173.7,18.4,4.3,0.332,2.4
5.35,27.8,7.24,173.8,22,4.72,0.448,2.71
5.82,28.1,7.16,173.9,13.1,4.88,0.492,2.62
6.66,29,7.22,176.7,10.3,4.55,0.343,2.42
6.6,29.2,7.29,178.5,10.4,4.59,0.216,2.25
5.79,29,7.26,180.3,10.1,4.39,0.228,2.17
5.52,28.7,7.24,180.2,11.6,4.56,0.229,2.17
5.57,28.3,7.26,183.4,11.6,4.32,0.207,2.18
5.95,28.2,7.3,183.8,10.7,4.54,0.221,2.15
6.57,28.7,7.33,178.4,9.4,4.33,0.23,2.08
6.68,28.8,7.4,186,9.1,4.33,0.166,2.01
5.99,28.6,7.32,185.6,9.2,4.25,0.16,2.01
5.58,28.3,7.31,187.7,10.5,4.24,0.164,2.07
5.72,28.2,7.32,188.5,11,3.775576923,0.165,2.06
6.31,28.2,7.37,189.6,9.8,3.32,0.151,2.07
6.85,28.4,7.42,186.3,8.8,3.86,0.146,2.05
6.5,28.4,7.39,180.9,8.8,3.8,0.173,1.97
6.05,28.1,7.36,179.7,8.6,3.86,0.137,1.96
5.87,27.8,7.34,179.4,10.8,3.76,0.127,1.98
5.91,27.6,7.37,188.8,11.2,3.74,0.134,2.06
6.21,27.4,7.39,189.5,9.6,3.75,0.142,2.09
6.89,27.8,7.45,185.2,8.3,3.75,0.141,2.07
6.8,27.9,7.44,180.4,9.8,3.45,0.146,2.07
6.2,27.8,7.39,180,9.2,3.54,0.144,2.07
5.82,27.7,7.35,179.3,10.8,3.66,0.148,2.16
5.92,27.4,7.36,182.9,13.4,3.64,0.13,2.3
6.08,26.9,7.33,163.1,13.1,3.64,0.184,2.18
6.08,26.8,7.31,170.9,11.9,3.84,0.198,2.24
6.18,26.8,7.31,166,13.1,3.79,0.219,2.19
5.91,26.6,7.3,161.8,12.7,3.83,0.202,2.19
5.9,26.4,7.28,155.7,14.1,3.88,0.223,2.2
5.95,26.2,7.27,157,15,3.89,0.253,2.2
5.93,26.2,7.24,158.2,13.4,4.14,0.361,2.34
6.24,26.5,7.21,158.7,12.4,4.12,0.426,2.44
5.95,26.5,7.19,162.9,13.2,4.1,0.473,2.55
5.88,26.3,7.21,168.4,15.5,4.06,0.44,2.5
5.89,26,7.21,167.9,14.1,4.36,0.403,2.54
6.41,25.8,7.15,147.7,14.83046875,5.8,0.466777778,5.98
5.85,25.8,6.82,114.3,16.75625,6.16,0.585222222,5.740405405
5.57,26.2,6.61,103.9,19.47890625,5.85,0.649,5.26
5.83,26.3,6.65,104.4,22.6,5.54,0.497,4.6
5.51,26.1,6.58,96.2,25.72109375,5.68,0.38,4.9
5.37,25.7,6.54,95.1,28.44375,5.42,0.356,4.26
5.34,25.3,6.6,103.2,30.36953125,4.85,0.373,3.79
5.7,25.6,6.7,120,31.1,4.49,0.446,3.25
6.23,26.8,6.85,129.9,24.4,4.02,0.299,2.88
6.2,27.2,6.96,132.6,20.7,4,0.252,2.68
6.11,27,7.01,134.6,16.2,3.59,0.183,2.48
5.92,26.8,7.03,134.7,15.9,3.62,0.184,2.45
6.03,26.5,7.04,137.4,15.6,3.51,0.216,2.52
6.43,27,7.08,139.1,14.4,3.6,0.233,2.44
6.84,28.2,7.13,138.8,12.3,3.55,0.165,2.41
6.65,28.4,7.2,140,10.3,3.14,0.141,2.29
6.28,28,7.17,139.3,10.2,3.32,0.138,2.22
6.14,27.5,7.17,142.5,10.4,3.49,0.127,2.23
6.07,27.1,7.19,152.5,10.6,3.48,0.116,2.22
6.83,28,7.28,158.9,8.3,3.07,0.094,2.14
6.89,29.2,7.33,162.9,7.2,2.8,0.15,2.24
6.62,29.3,7.34,163.4,7,3.32,0.098,2.17
6.19,29,7.29,152.7,7.1,3.12,0.096,2.12
5.97,28.5,7.28,155.3,8.1,3.03,0.091,2.13
5.89,28,7.27,157.4,9.2,3.47,0.1,2.19
6.71,28.8,7.31,158.8,7.1,2.99,0.099,2.14
7.24,30,7.39,159.7,6.4,3.06,0.09,2.14
6.69,30,7.4,161.8,6.6,2.92,0.082,2.13
5.88,29.7,7.32,164.5,6.9,3.08,0.1,2.17
5.59,29.3,7.28,165.7,8.2,2.99,0.102,2.23
5.68,28.7,7.27,165.8,10.5,3.2,0.098,2.32
6.44,29.2,7.33,166.1,7.3,2.91,0.113,2.29
7.27,30.2,7.43,169.7,6.6,2.92,0.087,2.23
6.68,30.2,7.43,168.2,6.2,3.01,0.002,2.16
5.84,29.8,7.34,161.8,6.7,2.92,0.083,2.09
5.53,29.4,7.31,167.6,7,2.99,0.09,2.15
5.67,28.9,7.32,169.9,8.2,3.28,0.089,2.16
6.4,29,7.36,169.2,6.2,3.32,0.092,2.14
7.14,29.9,7.44,170.9,5.6,3.1,0.084,2.12
